"award_type_desc","organization_org_state","measure","amount"
"Not applicable","MA","Funding",0.229998
"Not applicable","MD","Awards",21
"Not applicable","MD","Funding",25.727967
"Not applicable","ME","Awards",1
"Not applicable","ME","Funding",0.649999
"Not applicable","MN","Awards",4
"Not applicable","MN","Funding",0.658041
"Not applicable","NC","Awards",6
"Not applicable","NC","Funding",5.077803
"Not applicable","NY","Awards",5
"Not applicable","NY","Funding",4.562177
"Not applicable","OH","Awards",1
"Not applicable","OH","Funding",0.004701
"Not applicable","OR","Awards",1
"Not applicable","OR","Funding",0.003546
"Not applicable","PA","Awards",2
"Not applicable","PA","Funding",0.009514
"Not applicable","UT","Awards",2
"Not applicable","UT","Funding",0.132953
"Not applicable","VA","Awards",6
"Not applicable","VA","Funding",0.729429
"Not applicable","WA","Awards",1
"Not applicable","WA","Funding",0.035622
"Other","AZ","Awards",1
"Other","AZ","Funding",0.427356
"Other","CA","Awards",3
"Other","CA","Funding",1.143533
"Other","CT","Awards",1
"Other","CT","Funding",0.173638
"Other","FL","Awards",3
"Other","FL","Funding",2.312224
"Other","IA","Awards",1
"Other","IA","Funding",0.229318
"Other","IL","Awards",2
"Other","IL","Funding",0.381847
"Other","MA","Awards",2
"Other","MA","Funding",0.84241
"Other","MD","Awards",2
"Other","MD","Funding",1.751467
"Other","MI","Awards",1
"Other","MI","Funding",0.022779
"Other","MN","Awards",1
"Other","MN","Funding",0.226511
"Other","NC","Awards",1
"Other","NC","Funding",0.288255
"Other","NE","Awards",1
"Other","NE","Funding",0.239086
"Other","NY","Awards",1
"Other","NY","Funding",0.429867
"Other","OH","Awards",4
"Other","OH","Funding",1.586306
"Other","SC","Awards",1
"Other","SC","Funding",0.541602
"Other","TX","Awards",2
"Other","TX","Funding",0.940199
"Other","VA","Awards",1
"Other","VA","Funding",0.303504
"Other","WA","Awards",3
"Other","WA","Funding",2.651384
