"all_themes","organization_org_state","measure","amount","short_label"
"theme2","NM","Funding",0.543878,"Reproductive Health"
"theme2","NV","Awards",1,"Reproductive Health"
"theme2","NV","Funding",0.59972,"Reproductive Health"
"theme2","NY","Awards",43,"Reproductive Health"
"theme2","NY","Funding",19.690367,"Reproductive Health"
"theme2","OH","Awards",17,"Reproductive Health"
"theme2","OH","Funding",8.567271,"Reproductive Health"
"theme2","OK","Awards",3,"Reproductive Health"
"theme2","OK","Funding",0.99045,"Reproductive Health"
"theme2","OR","Awards",24,"Reproductive Health"
"theme2","OR","Funding",11.042925,"Reproductive Health"
"theme2","PA","Awards",46,"Reproductive Health"
"theme2","PA","Funding",20.183345,"Reproductive Health"
"theme2","RI","Awards",6,"Reproductive Health"
"theme2","RI","Funding",1.693125,"Reproductive Health"
"theme2","SC","Awards",2,"Reproductive Health"
"theme2","SC","Funding",0.850853,"Reproductive Health"
"theme2","TN","Awards",4,"Reproductive Health"
"theme2","TN","Funding",1.639576,"Reproductive Health"
"theme2","TX","Awards",53,"Reproductive Health"
"theme2","TX","Funding",24.293874,"Reproductive Health"
"theme2","UT","Awards",14,"Reproductive Health"
"theme2","UT","Funding",6.046943,"Reproductive Health"
"theme2","VA","Awards",8,"Reproductive Health"
"theme2","VA","Funding",3.392372,"Reproductive Health"
"theme2","VT","Awards",3,"Reproductive Health"
"theme2","VT","Funding",0.886921,"Reproductive Health"
"theme2","WA","Awards",22,"Reproductive Health"
"theme2","WA","Funding",12.985782,"Reproductive Health"
"theme2","WI","Awards",19,"Reproductive Health"
"theme2","WI","Funding",5.513181,"Reproductive Health"
"theme2","WY","Awards",2,"Reproductive Health"
"theme2","WY","Funding",0.7225,"Reproductive Health"
"theme2","ZZ","Awards",1,"Reproductive Health"
"theme2","ZZ","Funding",0.362371,"Reproductive Health"
"theme3","AL","Awards",10,"Pregnancy"
"theme3","AL","Funding",4.541661,"Pregnancy"
"theme3","AR","Awards",4,"Pregnancy"
"theme3","AR","Funding",2.700848,"Pregnancy"
"theme3","AZ","Awards",9,"Pregnancy"
"theme3","AZ","Funding",4.129701,"Pregnancy"
"theme3","CA","Awards",126,"Pregnancy"
"theme3","CA","Funding",55.082848,"Pregnancy"
"theme3","CO","Awards",30,"Pregnancy"
"theme3","CO","Funding",14.726124,"Pregnancy"
"theme3","CT","Awards",20,"Pregnancy"
"theme3","CT","Funding",9.535299,"Pregnancy"
"theme3","DC","Awards",12,"Pregnancy"
"theme3","DC","Funding",18.036241,"Pregnancy"
"theme3","DE","Awards",1,"Pregnancy"
"theme3","DE","Funding",0.337817,"Pregnancy"
"theme3","FL","Awards",10,"Pregnancy"
